Test,Source,Parsed At,Question ID,Question,Main Chapter,Subchapter,Secondary Subchapters,Reasoning
EJU,2020 Physics,2026-05-01 07:40:26,I-A (Q1),Find the center of mass position $x/L$ for a nonuniform rod.,"4 Forces, density and pressure",4.1 Turning effects of forces,4.2 Equilibrium of forces,Involves the concept of center of gravity and the application of moments in equilibrium.
EJU,2020 Physics,2026-05-01 07:40:26,I-B (Q2),Calculate spring compression in a decelerating wagon.,6 Deformation of solids,6.1 Stress and strain,3.1 Momentum and Newton’s laws of motion,Requires Hooke’s Law ($F=kx$) applied to an object experiencing an inertial force in an accelerating frame.
EJU,2020 Physics,2026-05-01 07:40:26,I-C (Q3),Determine momentum change from a Force-Time graph.,3 Dynamics,3.1 Momentum and Newton’s laws of motion,,Uses the definition of force as the rate of change of momentum (Impulse = area under $F-t$ graph).
EJU,2020 Physics,2026-05-01 07:40:26,I-D (Q4),Calculate sliding distance ratio $L_A/L_B$ after a collision with coefficient $e$.,3 Dynamics,3.3 Linear momentum and its conservation,5.1 Energy conservation,Relates conservation of momentum and energy dissipation via friction to the coefficient of restitution.
EJU,2020 Physics,2026-05-01 07:40:26,I-E (Q5),Determine the threshold radius $R/L$ for circular motion around a nail.,12 Motion in a circle,12.2 Centripetal acceleration,5.1 Energy conservation,Combines energy conservation with the minimum velocity required for centripetal force at the top of a circular path.
EJU,2020 Physics,2026-05-01 07:40:26,I-F (Q6),Find the ratio of gravity at a distant point vs. the Earth's surface.,13 Gravitational fields,13.3 Gravitational field of a point mass,13.2 Gravitational force between point masses,Involves the inverse square law for gravitational field strength $g = GM/r^2$.
EJU,2020 Physics,2026-05-01 07:40:26,II-A (Q1),Find initial container temperature $t$ via heat exchange with ice/water.,14 Temperature,14.3 Specific heat capacity and specific latent heat,,Uses thermal equilibrium principles and heat exchange formulas ($mc\Delta\theta$ and $mL$).
EJU,2020 Physics,2026-05-01 07:40:26,II-B (Q2),Find the equilibrium temperature $T_3$ of two monatomic ideal gas regions.,16 Thermodynamics,16.1 Internal energy,15.2 Equation of state,Relates the conservation of total internal energy in monatomic ideal gases to temperature.
EJU,2020 Physics,2026-05-01 07:40:26,II-C (Q3),Identify processes in a $p-V$ diagram where internal energy decreases.,16 Thermodynamics,16.2 The first law of thermodynamics,,Requires applying $\Delta U = q + W$ to determine internal energy changes in adiabatic and isobaric processes.
EJU,2020 Physics,2026-05-01 07:40:26,III-A (Q1),Determine the mathematical formula for a sinusoidal wave from graphs.,7 Waves,7.1 Progressive waves,,"Requires interpreting wave properties (amplitude, $\omega$, $k$) from displacement-distance and displacement-time graphs."
EJU,2020 Physics,2026-05-01 07:40:26,III-B (Q2),Find the ratio of string lengths $L_2/L_1$ for equal fundamental frequencies.,8 Superposition,8.1 Stationary waves,7.1 Progressive waves,Relates wave speed on a string (tension/mass ratio) to the formation of fundamental mode stationary waves.
EJU,2020 Physics,2026-05-01 07:40:26,III-C (Q3),Calculate $\sin \theta_0$ for total internal reflection through layered media.,7 Waves,7.1 Progressive waves,,Quantitative application of Snell's Law and the condition for total internal reflection at a boundary.
EJU,2020 Physics,2026-05-01 07:40:26,IV-A (Q1),Find the magnitude of charge $Q$ for suspended balls in equilibrium.,18 Electric fields,18.3 Electric force between point charges,4.2 Equilibrium of forces,Involves balancing electrostatic repulsion (Coulomb's Law) with gravitational and tension force vectors.
EJU,2020 Physics,2026-05-01 07:40:26,IV-B (Q2),Calculate electric potential at the center of a cube with point charges.,18 Electric fields,18.5 Electric potential,,Application of the scalar superposition of electric potentials $V = \sum Q/(4\pi\epsilon_0 r)$.
EJU,2020 Physics,2026-05-01 07:40:26,IV-C (Q3),Determine electric potential at point Q in a capacitive network.,19 Capacitance,19.1 Capacitors and capacitance,,Requires applying capacitor combination rules ($C=Q/V$) to determine potential distribution in a circuit.
EJU,2020 Physics,2026-05-01 07:40:26,IV-D (Q4),Calculate current $I$ through a specific resistor in a D.C. circuit.,10 D.C. circuits,10.2 Kirchhoff’s laws,9.3 Resistance and resistivity,Uses Kirchhoff's laws to solve for branch currents in series and parallel resistor combinations.
EJU,2020 Physics,2026-05-01 07:40:26,IV-E (Q5),Find the exit point of a charged particle in a magnetic field region.,20 Magnetic fields,20.3 Force on a moving charge,,Involves the direction and radius of circular motion ($r=mv/Bq$) for particles in a uniform magnetic field.
EJU,2020 Physics,2026-05-01 07:40:26,IV-F (Q6),Identify the graph of force $F_x$ on a wire in a time-varying magnetic field.,20 Magnetic fields,20.5 Electromagnetic induction,20.2 Force on a current-carrying conductor,Combines Faraday's Law for induced e.m.f. with the magnetic force formula $F=BIL$.
EJU,2020 Physics,2026-05-01 07:40:26,V-A (Q1),Express kinetic energy $K$ in terms of de Broglie wavelength $\lambda$.,22 Quantum physics,22.3 Wave–particle duality,,Relates the particle-like kinetic energy ($K=p^2/2m$) to the wave-like property $\lambda = h/p$.
