Test,Source,Parsed At,Question ID,Question,Main Chapter,Subchapter,Secondary Subchapters,Reasoning
MEXT,2021 Physics 1,2026-05-01 07:34:53,I-Q1,Calculate the ratio of force between two moving objects in contact.,3 Dynamics,3.1 Momentum and Newton's laws of motion,,Requires applying Newton's second law ($F=ma$) to a system of connected masses.
MEXT,2021 Physics 1,2026-05-01 07:34:53,I-Q2,Determine speed from a force-time graph.,3 Dynamics,3.1 Momentum and Newton's laws of motion,,Involves the concept of impulse as the change in momentum (area under $F-t$ graph).
MEXT,2021 Physics 1,2026-05-01 07:34:53,I-Q3,Find the acceleration of a pulley system on a $30^\circ$ slope.,3 Dynamics,3.1 Momentum and Newton's laws of motion,4.2 Equilibrium of forces,Involves solving for acceleration in a system with multiple forces and tensions.
MEXT,2021 Physics 1,2026-05-01 07:34:53,I-Q4,Find the minimum speed of an object after a collision.,3 Dynamics,3.3 Linear momentum and its conservation,,Application of the principle of conservation of momentum and the coefficient of restitution.
MEXT,2021 Physics 1,2026-05-01 07:34:53,I-Q5,Identify the graph representing kinetic energy vs. spring compression.,6 Deformation of solids,6.2 Elastic and plastic behaviour,5.1 Energy conservation,Relates work done/energy stored in a spring ($1/2 kx^2$) to kinetic energy through conservation.
MEXT,2021 Physics 1,2026-05-01 07:34:53,I-Q6,Determine the tension in a string for an object in uniform circular motion.,12 Motion in a circle,12.2 Centripetal acceleration,,Requires relating string tension and gravitational force to centripetal force ($F=mr\omega^2$).
MEXT,2021 Physics 1,2026-05-01 07:34:53,II-Q1,Calculate the mass of remaining ice in a thermal mixture.,14 Temperature,14.3 Specific heat capacity and specific latent heat,,Uses heat exchange formulas ($mc\Delta\theta$ and $mL$) to find thermal equilibrium.
MEXT,2021 Physics 1,2026-05-01 07:34:53,II-Q2,Find the work done on an ideal gas at constant pressure.,16 Thermodynamics,16.2 The first law of thermodynamics,15.2 Equation of state,Application of $W = p\Delta V$ for an ideal gas undergoing a state change.
MEXT,2021 Physics 1,2026-05-01 07:34:53,II-Q3,Compare heat absorbed by a gas across three different $p-V$ pathways.,16 Thermodynamics,16.2 The first law of thermodynamics,,Requires applying the First Law ($\Delta U = q + W$) to different thermodynamic processes.
MEXT,2021 Physics 1,2026-05-01 07:34:53,III-Q1,Find the time required for a sinusoidal wave to reach maximum displacement.,7 Waves,7.1 Progressive waves,,"Relates wave period, frequency, and displacement over time and position."
MEXT,2021 Physics 1,2026-05-01 07:34:53,III-Q2,Compare fundamental frequencies of strings with varying tension and length.,8 Superposition,8.1 Stationary waves,,Involves the formation of stationary waves on strings and the factors affecting frequency.
MEXT,2021 Physics 1,2026-05-01 07:34:53,III-Q3,Calculate the sine of the angle of refraction through multiple glass boundaries.,7 Waves,7.1 Progressive waves,,Quantitative application of Snell's Law and refractive indices ($n = \sin i / \sin r$).
MEXT,2021 Physics 1,2026-05-01 07:34:53,IV-Q1,Determine the ratio of charges for a zero net electrostatic force.,18 Electric fields,18.3 Electric force between point charges,,Uses Coulomb's law to find the point where net force from multiple charges is zero.
MEXT,2021 Physics 1,2026-05-01 07:34:53,IV-Q2,Calculate the Joule heat evolved in a resistor during capacitor discharge.,19 Capacitance,19.2 Energy stored in a capacitor,19.1 Capacitors and capacitance,Relates changes in stored electrical potential energy ($1/2 CV^2$) to energy dissipation.
MEXT,2021 Physics 1,2026-05-01 07:34:53,IV-Q3,Compare the total power consumption of two different resistor circuits.,9 Electricity,9.2 Potential difference and power,10.2 Kirchhoff's laws,Requires combining resistance formulas ($P=V^2/R$) and Kirchhoff's laws for circuit analysis.
MEXT,2021 Physics 1,2026-05-01 07:34:53,IV-Q4,Find the position of zero magnetic field between two parallel currents.,20 Magnetic fields,20.4 Magnetic fields due to currents,,Involves calculating the magnetic flux density near long straight current-carrying wires.
MEXT,2021 Physics 1,2026-05-01 07:34:53,IV-Q5,Determine the magnetic flux density for a suspended rod in equilibrium.,20 Magnetic fields,20.2 Force on a current-carrying conductor,4.2 Equilibrium of forces,Application of $F = BIL \sin\theta$ balanced against gravitational forces in equilibrium.
MEXT,2021 Physics 1,2026-05-01 07:34:53,IV-Q6,Determine the direction of induced current and force from a bar magnet.,20 Magnetic fields,20.5 Electromagnetic induction,,Uses Faraday's and Lenz's laws to predict induced effects and opposing forces.
MEXT,2021 Physics 1,2026-05-01 07:34:53,V-Q1,Find the number of neutrons released in a U-235 nuclear fission reaction.,23 Nuclear physics,23.1 Mass defect and nuclear binding energy,,Requires balancing nucleon numbers and proton numbers in a nuclear fission equation.
